127.0.0.1 - - [12/May/2021:09:46:44 +0900] "GET / HTTP/1.1" 200 182
0:0:0:0:0:0:0:1 - - [12/May/2021:11:39:26 +0900] "GET /sample/ex02List?ids=A&ids=B&ids=C HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [12/May/2021:11:42:04 +0900] "GET /sample/ex02List?ids=A&ids=B&ids=C HTTP/1.1" 500 4219
0:0:0:0:0:0:0:1 - - [12/May/2021:11:42:17 +0900] "GET /sample/ex02List?ids=A&ids=B&ids=C HTTP/1.1" 500 4219
0:0:0:0:0:0:0:1 - - [12/May/2021:11:42:30 +0900] "GET /sample/ex02List?ids=A&ids=B&ids=C HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [12/May/2021:11:45:20 +0900] "GET /sample/ex02List?ids=A&ids=B&ids=C HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [12/May/2021:13:09:46 +0900] "GET /sample/ex02Bean HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [12/May/2021:13:11:32 +0900] "GET null null" 400 -
0:0:0:0:0:0:0:1 - - [12/May/2021:13:14:06 +0900] "GET null null" 400 -
0:0:0:0:0:0:0:1 - - [12/May/2021:13:16:55 +0900] "GET null null" 400 -
0:0:0:0:0:0:0:1 - - [12/May/2021:13:17:31 +0900] "GET /sample/ex02Bean?list.name=A&list.name=B&list.name=C HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [12/May/2021:13:17:58 +0900] "GET null null" 400 -
0:0:0:0:0:0:0:1 - - [12/May/2021:13:18:16 +0900] "GET null null" 400 -
0:0:0:0:0:0:0:1 - - [12/May/2021:13:18:31 +0900] "GET null null" 400 -
0:0:0:0:0:0:0:1 - - [12/May/2021:13:22:16 +0900] "GET null null" 400 -
0:0:0:0:0:0:0:1 - - [12/May/2021:13:22:48 +0900] "GET null null" 400 -
0:0:0:0:0:0:0:1 - - [12/May/2021:13:25:23 +0900] "GET null null" 400 -
0:0:0:0:0:0:0:1 - - [12/May/2021:13:32:19 +0900] "GET /sample/ex03?title=A&dueDate=2021-05-12 HTTP/1.1" 400 1133
0:0:0:0:0:0:0:1 - - [12/May/2021:13:37:49 +0900] "GET /sample/ex03?title=A&dueDate=2021-05-12 HTTP/1.1" 500 5211
0:0:0:0:0:0:0:1 - - [12/May/2021:13:38:21 +0900] "GET /sample/ex03?title=A&dueDate=2021-05-12 HTTP/1.1" 500 7579
0:0:0:0:0:0:0:1 - - [12/May/2021:13:39:21 +0900] "GET /sample/ex03?title=A&dueDate=2021-05-12 HTTP/1.1" 500 5211
0:0:0:0:0:0:0:1 - - [12/May/2021:13:42:11 +0900] "GET /sample/ex03?title=A&dueDate=2021-05-12 HTTP/1.1" 500 5211
0:0:0:0:0:0:0:1 - - [12/May/2021:13:43:13 +0900] "GET /sample/ex03?title=A&dueDate=2021-05-12 HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [12/May/2021:13:53:24 +0900] "GET /sample/ex03?title=A&dueDate=2021-05-12 HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [12/May/2021:13:56:50 +0900] "GET /sample/ex03?title=A&dueDate=2021-05-12 HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [12/May/2021:13:57:35 +0900] "GET /sample/ex03?title=A&dueDate=2021-05-12 HTTP/1.1" 400 1133
0:0:0:0:0:0:0:1 - - [12/May/2021:13:57:46 +0900] "GET /sample/ex03?title=A&dueDate=2021/05/12 HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [12/May/2021:14:11:30 +0900] "GET /sample/sampleModel HTTP/1.1" 200 176
0:0:0:0:0:0:0:1 - - [12/May/2021:14:13:00 +0900] "GET /sample/sampleModel?superName=%ED%99%8D%EA%B8%B8%EB%8F%99&age=18 HTTP/1.1" 500 4384
0:0:0:0:0:0:0:1 - - [12/May/2021:14:14:23 +0900] "GET /sample/sampleModel?superName=%ED%99%8D%EA%B8%B8%EB%8F%99&age=18 HTTP/1.1" 500 4384
0:0:0:0:0:0:0:1 - - [12/May/2021:14:23:12 +0900] "GET /sample/ex04?superName=%ED%99%8D%EA%B8%B8%EB%8F%99&age=18&page=10 HTTP/1.1" 200 206
0:0:0:0:0:0:0:1 - - [12/May/2021:14:24:00 +0900] "GET /sample/ex04?superName=%ED%99%8D%EA%B8%B8%EB%8F%99&age=28&page=10 HTTP/1.1" 200 206
0:0:0:0:0:0:0:1 - - [12/May/2021:14:26:13 +0900] "GET /sample/ex04?superName=%ED%99%8D%EA%B8%B8%EB%8F%99&age=28&page=10 HTTP/1.1" 200 256
0:0:0:0:0:0:0:1 - - [12/May/2021:14:40:08 +0900] "GET /sample/doE HTTP/1.1" 404 1053
0:0:0:0:0:0:0:1 - - [12/May/2021:14:58:18 +0900] "GET /sample/doE HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/May/2021:14:58:18 +0900] "GET /sample/doF HTTP/1.1" 200 381
0:0:0:0:0:0:0:1 - - [12/May/2021:15:05:11 +0900] "GET /sample/ex05 HTTP/1.1" 404 1053
0:0:0:0:0:0:0:1 - - [12/May/2021:15:11:26 +0900] "GET /sample/ex06 HTTP/1.1" 404 1105
0:0:0:0:0:0:0:1 - - [12/May/2021:15:13:14 +0900] "GET /sample/ex06 HTTP/1.1" 200 45
0:0:0:0:0:0:0:1 - - [12/May/2021:15:13:51 +0900] "GET /sample/ex06 HTTP/1.1" 200 45
0:0:0:0:0:0:0:1 - - [12/May/2021:15:21:32 +0900] "GET /sample/ex06_1 HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [12/May/2021:15:28:35 +0900] "GET /sample/ex06_2 HTTP/1.1" 200 91
0:0:0:0:0:0:0:1 - - [12/May/2021:15:32:11 +0900] "GET /sample/ex06_2 HTTP/1.1" 200 91
